registration_month,powertrain_group,registration_count
1979-08,combustion,37
1979-09,combustion,25
1979-10,combustion,32
1979-11,combustion,31
1979-12,combustion,40
1980-01,combustion,50
1980-02,combustion,38
1980-03,combustion,39
1980-04,combustion,35
1980-05,combustion,32
1980-06,combustion,28
1980-07,combustion,39
1980-08,combustion,37
1980-09,combustion,39
1980-10,combustion,32
1980-11,combustion,29
1980-12,combustion,31
1981-01,combustion,45
1981-02,combustion,26
1981-03,combustion,30
1981-04,combustion,29
1981-05,combustion,24
1981-06,combustion,19
1981-07,combustion,22
1981-08,combustion,35
1981-09,combustion,22
1981-10,combustion,33
1981-11,combustion,27
1981-12,combustion,19
1982-01,combustion,41
1982-02,combustion,29
1982-03,combustion,30
1982-04,combustion,26
1982-05,combustion,41
1982-06,combustion,49
1982-07,combustion,26
1982-08,combustion,22
1982-09,combustion,25
1982-10,combustion,23
1982-11,combustion,15
1982-12,combustion,25
1983-01,combustion,31
1983-02,combustion,19
1983-03,combustion,23
1983-04,combustion,18
1983-05,combustion,24
1983-06,combustion,23
1983-07,combustion,27
1983-08,combustion,14
1983-09,combustion,25
1983-10,combustion,31
1983-11,combustion,26
1983-12,combustion,18
1984-01,combustion,37
1984-02,combustion,29
1984-03,combustion,30
1984-04,combustion,28
1984-05,combustion,25
1984-06,combustion,19
1984-07,combustion,35
1984-08,combustion,22
1984-09,combustion,33
1984-10,combustion,25
1984-11,combustion,35
1984-12,combustion,28
1985-01,combustion,57
1985-02,combustion,32
1985-03,combustion,36
1985-04,combustion,33
1985-05,combustion,45
1985-06,combustion,46
1985-07,combustion,37
1985-08,combustion,36
1985-09,combustion,43
1985-10,combustion,31
1985-11,combustion,27
1985-12,combustion,43
1986-01,combustion,63
1986-02,combustion,39
1986-03,combustion,28
1986-04,combustion,39
1986-05,combustion,34
1986-06,combustion,47
1986-07,combustion,39
1986-08,combustion,51
1986-09,combustion,45
1986-10,combustion,47
1986-11,combustion,36
1986-12,combustion,47
1987-01,combustion,48
1987-02,combustion,42
1987-03,combustion,38
1987-04,combustion,41
1987-05,combustion,74
1987-06,combustion,64
1987-07,combustion,57
1987-08,combustion,75
1987-09,combustion,123
1987-10,combustion,67
1987-11,combustion,47
1987-12,combustion,51
1988-01,combustion,50
1988-02,combustion,46
1988-03,combustion,40
1988-04,combustion,29
1988-05,combustion,35
1988-06,combustion,30
1988-07,combustion,42
1988-08,combustion,35
1988-09,combustion,39
1988-10,combustion,29
1988-11,combustion,44
1988-12,combustion,52
1989-01,combustion,57
1989-02,combustion,49
1989-03,combustion,61
1989-04,combustion,35
1989-05,combustion,51
1989-06,combustion,55
1989-07,combustion,39
