registration_month,import_status_group,registration_count
1967-10,nz_new,1
1967-11,other_or_unknown,37
1967-11,nz_new,1
1967-12,other_or_unknown,35
1967-12,nz_new,4
1968-01,other_or_unknown,94
1968-01,nz_new,2
1968-02,other_or_unknown,36
1968-03,other_or_unknown,21
1968-03,nz_new,1
1968-04,other_or_unknown,12
1968-04,nz_new,2
1968-05,other_or_unknown,25
1968-05,nz_new,2
1968-06,other_or_unknown,22
1968-06,nz_new,3
1968-07,other_or_unknown,38
1968-07,nz_new,5
1968-08,other_or_unknown,28
1968-08,nz_new,4
1968-09,other_or_unknown,31
1968-09,nz_new,4
1968-10,other_or_unknown,33
1968-10,nz_new,1
1968-11,other_or_unknown,27
1968-11,nz_new,4
1968-12,other_or_unknown,23
1968-12,nz_new,2
1969-01,other_or_unknown,108
1969-01,nz_new,4
1969-02,other_or_unknown,31
1969-02,nz_new,2
1969-03,other_or_unknown,25
1969-03,nz_new,7
1969-04,other_or_unknown,23
1969-04,nz_new,1
1969-05,other_or_unknown,25
1969-05,nz_new,1
1969-06,other_or_unknown,21
1969-06,nz_new,2
1969-07,other_or_unknown,31
1969-07,nz_new,4
1969-08,other_or_unknown,25
1969-08,nz_new,3
1969-09,other_or_unknown,32
1969-09,nz_new,2
1969-10,other_or_unknown,28
1969-10,nz_new,1
1969-11,other_or_unknown,26
1969-11,nz_new,2
1969-12,other_or_unknown,35
1969-12,nz_new,3
1970-01,other_or_unknown,131
1970-01,nz_new,7
1970-02,other_or_unknown,33
1970-02,nz_new,1
1970-03,other_or_unknown,39
1970-03,nz_new,4
1970-04,other_or_unknown,42
1970-04,nz_new,3
1970-05,other_or_unknown,69
1970-05,nz_new,1
1970-06,other_or_unknown,38
1970-06,nz_new,3
1970-07,other_or_unknown,47
1970-07,nz_new,6
1970-08,other_or_unknown,47
1970-08,nz_new,4
1970-09,other_or_unknown,61
1970-09,nz_new,4
1970-10,other_or_unknown,61
1970-10,nz_new,4
1970-11,other_or_unknown,64
1970-11,nz_new,7
1970-12,other_or_unknown,43
1970-12,nz_new,3
1971-01,other_or_unknown,144
1971-01,nz_new,3
1971-02,other_or_unknown,43
1971-02,nz_new,3
1971-03,other_or_unknown,48
1971-03,nz_new,7
1971-04,other_or_unknown,51
1971-04,nz_new,2
1971-05,other_or_unknown,42
1971-05,nz_new,3
1971-06,other_or_unknown,31
1971-06,nz_new,5
1971-07,other_or_unknown,44
1971-07,nz_new,4
1971-08,other_or_unknown,31
1971-08,nz_new,4
1971-09,other_or_unknown,34
1971-10,other_or_unknown,50
1971-10,nz_new,6
1971-11,other_or_unknown,56
1971-11,nz_new,8
1971-11,used_import,1
1971-12,other_or_unknown,69
1971-12,nz_new,7
1972-01,other_or_unknown,180
1972-01,nz_new,11
1972-02,other_or_unknown,50
1972-02,nz_new,3
1972-03,other_or_unknown,55
1972-03,nz_new,5
1972-04,other_or_unknown,46
1972-04,nz_new,3
1972-05,other_or_unknown,52
1972-05,nz_new,6
1972-06,other_or_unknown,50
1972-06,nz_new,5
1972-07,other_or_unknown,50
1972-07,nz_new,7
1972-08,other_or_unknown,51
1972-08,nz_new,9
1972-09,other_or_unknown,40
1972-09,nz_new,10
1972-10,other_or_unknown,64
